step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
339,0.19369,0.89889,,
340,0.18889,0.89812,,
341,0.16534,0.9052,,
342,0.19884,0.888,,
343,0.19432,0.90643,,
344,0.19242,0.90338,,
345,0.18163,0.8969,,
346,0.19272,0.91116,,
347,0.20362,0.88159,,
348,0.19913,0.90004,,
349,0.18448,0.90775,,
350,0.2015,0.89792,,
351,0.1779,0.90732,,
352,0.20273,0.90982,,
353,0.19958,0.89855,,
354,0.17012,0.91182,,
355,0.19414,0.89086,,
356,0.18639,0.91265,,
357,0.17899,0.91308,,
358,0.1745,0.89033,,
359,0.19057,0.90093,,
360,0.177,0.90049,,
361,0.18448,0.92394,,
362,0.15294,0.92336,,
363,0.17725,0.91458,,
364,0.17288,0.90867,,
365,0.20387,0.87931,,
366,0.19032,0.9089,,
367,0.19723,0.89917,,
368,0.19678,0.90357,,
369,0.1966,0.89934,,
370,0.16225,0.91344,,
371,0.18226,0.91453,,
372,0.18762,0.88527,,
373,0.19764,0.87773,,
374,0.17563,0.90996,,
375,0.1887,0.90075,,
376,0.1778,0.90663,,
377,0.20156,0.8904,,
378,0.19682,0.8847,,
379,0.15849,0.91153,,
380,0.1976,0.87937,,
381,0.20291,0.9076,,
382,0.19025,0.9,,
383,0.17379,0.90492,,
384,0.1698,0.91504,,
385,0.17109,0.92081,,
386,0.17501,0.90614,,
387,0.17247,0.9079,,
388,0.17226,0.93341,,
389,0.20089,0.88561,,
390,0.16941,0.91525,,
391,0.17492,0.91162,,
392,0.20111,0.8905,,
393,0.17888,0.90294,,
394,0.19473,0.90333,,
395,0.18207,0.89252,,
396,0.1945,0.91154,,
397,0.17319,0.89982,,
398,0.17994,0.88983,,
399,0.17811,0.91437,,
400,0.1822,0.89777,,
401,0.19001,0.90603,0.17667,0.68261
402,0.16781,0.9359,,
403,0.16069,0.9219,,
404,0.18885,0.89738,,
405,0.20416,0.87414,,
406,0.19419,0.88422,,
407,0.17349,0.93467,,
408,0.19583,0.89888,,
