step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
518,0.08363,0.95062,,
519,0.14957,0.95322,,
520,0.10417,0.94624,,
521,0.05272,0.97959,,
522,0.04566,0.97386,,
523,0.04783,0.9697,,
524,0.02191,1.0,,
525,0.06525,0.97884,,
526,0.05723,0.97222,,
527,0.04025,0.97126,,
528,0.0263,0.98974,,
529,0.07721,0.96569,,
530,0.09495,0.96552,,
531,0.05461,0.98765,,
532,0.05517,0.96517,,
533,0.07198,0.96296,,
534,0.08908,0.95699,,
535,0.08613,0.95977,,
536,0.0605,0.97268,,
537,0.03218,0.98222,,
538,0.09316,0.95385,,
539,0.05434,0.97268,,
540,0.15288,0.92188,,
541,0.03744,0.97701,,
542,0.08,0.96175,,
543,0.05542,0.96825,,
544,0.05436,0.98174,,
545,0.03521,0.98413,,
546,0.0608,0.97475,,
547,0.02141,0.99479,,
548,0.10452,0.95238,,
549,0.04508,0.97175,,
550,0.07611,0.98507,,
551,0.09893,0.9548,,
552,0.0537,0.97222,,
553,0.08818,0.95111,,
554,0.05014,0.98571,,
555,0.1133,0.96667,,
556,0.06973,0.96914,,
557,0.04301,0.97748,,
558,0.07653,0.96569,,
559,0.04012,0.97701,,
560,0.03932,0.98413,,
561,0.12027,0.96296,,
562,0.08268,0.95833,,
563,0.08359,0.94771,,
564,0.03122,0.98718,,
565,0.09362,0.95425,,
566,0.08203,0.96667,,
567,0.05987,0.97531,,
568,0.07728,0.95628,,
569,0.08013,0.99167,,
570,0.01911,1.0,,
571,0.07232,0.97101,,
572,0.04198,0.97949,,
573,0.05351,0.96667,,
574,0.08543,0.95699,,
575,0.10117,0.95597,,
576,0.02029,0.99502,,
577,0.03943,0.98276,,
578,0.07818,0.96923,,
579,0.04441,0.98276,,
580,0.11106,0.94444,,
581,0.08637,0.96154,,
582,0.10466,0.95402,,
583,0.04147,0.97619,,
584,0.09373,0.96045,,
585,0.07004,0.96825,,
586,0.03302,0.99471,,
587,0.07683,0.97436,,
588,0.08425,0.96175,,
589,0.02454,0.98958,,
590,0.0534,0.96825,,
591,0.04889,0.97748,,
592,0.0323,0.98958,,
593,0.09805,0.94949,,
594,0.04427,0.97778,,
595,0.0771,0.95513,,
596,0.11384,0.94624,,
597,0.07603,0.9619,,
598,0.06854,0.97101,,
599,0.04335,0.97917,,
600,0.05604,0.97175,,
601,0.03842,0.98974,0.01591,0.76263
602,0.12681,0.94366,,
603,0.08855,0.97354,,
604,0.05643,0.9798,,
605,0.13557,0.93897,,
606,0.03415,0.98582,,
607,0.02147,0.99487,,
608,0.03978,0.98077,,
609,0.05564,0.9902,,
610,0.05094,0.97312,,
611,0.03991,0.98742,,
612,0.15063,0.94271,,
613,0.07265,0.97126,,
614,0.11693,0.95758,,
615,0.11629,0.95614,,
616,0.07054,0.95833,,
617,0.05087,0.96721,,
618,0.07241,0.97396,,
619,0.07599,0.97386,,
620,0.06105,0.96078,,
621,0.04902,0.97354,,
622,0.07924,0.95385,,
623,0.10524,0.95312,,
624,0.04981,0.98077,,
625,0.05956,0.99005,,
626,0.05312,0.97576,,
627,0.06553,0.97619,,
628,0.04741,0.98438,,
629,0.04554,0.96491,,
630,0.08772,0.96296,,
631,0.04748,0.98148,,
632,0.0514,0.97268,,
633,0.08318,0.95758,,
634,0.05563,0.98113,,
635,0.05403,0.97126,,
636,0.02201,0.98148,,
637,0.12218,0.95025,,
638,0.08154,0.97222,,
639,0.10287,0.94527,,
640,0.04624,0.98276,,
641,0.08508,0.9602,,
642,0.03229,0.9887,,
643,0.059,0.95238,,
644,0.05303,0.97403,,
645,0.01195,0.99471,,
646,0.08036,0.9641,,
647,0.07545,0.96175,,
648,0.04553,0.9801,,
649,0.08978,0.96552,,
650,0.06735,0.95833,,
651,0.08991,0.96237,,
652,0.06116,0.98788,,
653,0.04968,0.97175,,
654,0.07987,0.9774,,
655,0.0649,0.96296,,
656,0.06815,0.96078,,
657,0.05938,0.97354,,
658,0.06649,0.96296,,
659,0.03253,0.98718,,
660,0.08903,0.96708,,
661,0.05626,0.98148,,
662,0.04386,0.97661,,
663,0.10069,0.97701,,
664,0.09479,0.97101,,
665,0.0225,0.99425,,
666,0.09462,0.95385,,
667,0.03506,0.98851,,
668,0.05242,0.98214,,
669,0.0525,0.98333,,
670,0.11386,0.96078,,
671,0.03751,0.98361,,
672,0.06275,0.96923,,
673,0.07215,0.97814,,
674,0.03208,0.99567,,
675,0.06122,0.96296,,
676,0.03351,0.98113,,
677,0.06863,0.96914,,
678,0.0559,0.98305,,
679,0.14087,0.94709,,
680,0.05846,0.97279,,
681,0.03452,0.97619,,
682,0.10257,0.94949,,
683,0.05142,0.97576,,
684,0.04885,0.96825,,
685,0.04735,0.98788,,
686,0.03049,0.99291,,
687,0.09212,0.94969,,
688,0.11881,0.94048,,
