step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
329,0.22902,0.88823,,
330,0.2198,0.89236,,
331,0.21702,0.89209,,
332,0.19196,0.9154,,
333,0.19619,0.90853,,
334,0.21883,0.90291,,
335,0.2174,0.89867,,
336,0.22359,0.89037,,
337,0.23208,0.89426,,
338,0.21221,0.90787,,
339,0.25171,0.88697,,
340,0.20323,0.9045,,
341,0.20768,0.90184,,
342,0.22713,0.87996,,
343,0.21881,0.89226,,
344,0.20926,0.90669,,
345,0.22618,0.88636,,
346,0.2281,0.89443,,
347,0.23991,0.88336,,
348,0.20295,0.90415,,
349,0.20151,0.90114,,
350,0.207,0.89696,,
351,0.19319,0.91485,,
352,0.20879,0.90954,,
353,0.22266,0.8885,,
354,0.23445,0.88598,,
355,0.24072,0.8735,,
356,0.20346,0.90163,,
357,0.22788,0.88583,,
358,0.24061,0.87251,,
359,0.19612,0.91127,,
360,0.21957,0.90098,,
361,0.22087,0.89941,,
362,0.21193,0.896,,
363,0.2188,0.89414,,
364,0.16126,0.92467,,
365,0.20838,0.90037,,
366,0.20064,0.90289,,
367,0.22981,0.88882,,
368,0.23365,0.88455,,
369,0.1944,0.90517,,
370,0.21153,0.88842,,
371,0.225,0.89194,,
372,0.19413,0.91255,,
373,0.21056,0.88748,,
374,0.18676,0.91079,,
375,0.21309,0.89313,,
376,0.21947,0.89043,,
377,0.21137,0.8908,,
378,0.20287,0.89668,,
379,0.2216,0.88695,,
380,0.1955,0.90573,,
381,0.20298,0.89587,,
382,0.18889,0.9163,,
383,0.19321,0.90996,,
384,0.18177,0.91072,,
385,0.21538,0.89319,,
386,0.22277,0.89251,,
387,0.21929,0.89136,,
388,0.20012,0.90091,,
389,0.1797,0.90922,,
390,0.20853,0.90318,,
391,0.1998,0.90065,,
392,0.18965,0.90932,,
393,0.17907,0.91553,,
394,0.20365,0.89669,,
395,0.19008,0.91005,,
396,0.20114,0.90517,,
397,0.20047,0.90047,,
398,0.20543,0.90435,,
399,0.17459,0.91963,,
400,0.1979,0.90331,,
401,0.19568,0.9035,0.19289,0.67017
402,0.20779,0.90352,,
403,0.21876,0.8985,,
404,0.19499,0.90725,,
405,0.20374,0.89435,,
406,0.19982,0.89689,,
407,0.21643,0.90124,,
408,0.22802,0.88945,,
409,0.17816,0.91803,,
410,0.18909,0.91466,,
411,0.24218,0.8792,,
412,0.18198,0.91657,,
413,0.21718,0.88531,,
414,0.2064,0.90365,,
415,0.20755,0.89297,,
416,0.21589,0.89388,,
417,0.21855,0.8905,,
418,0.23108,0.88196,,
419,0.18146,0.91588,,
420,0.19171,0.90683,,
421,0.19539,0.90676,,
422,0.21038,0.90993,,
423,0.23904,0.88111,,
424,0.23254,0.8917,,
425,0.18514,0.91107,,
426,0.19752,0.90437,,
427,0.18596,0.91253,,
428,0.20396,0.90657,,
429,0.19118,0.90653,,
430,0.16175,0.92699,,
431,0.19776,0.90813,,
432,0.18478,0.92466,,
433,0.22361,0.88892,,
434,0.19678,0.91091,,
435,0.2302,0.88002,,
436,0.22738,0.8867,,
437,0.2003,0.90736,,
438,0.23239,0.88494,,
439,0.19092,0.90031,,
440,0.19071,0.90446,,
441,0.17211,0.91995,,
442,0.19743,0.90169,,
443,0.2305,0.88437,,
444,0.22695,0.88335,,
445,0.18251,0.90827,,
446,0.18734,0.90749,,
447,0.19742,0.89978,,
448,0.21837,0.89657,,
449,0.22218,0.88631,,
450,0.19826,0.9073,,
451,0.22188,0.89579,,
452,0.2237,0.8842,,
453,0.1822,0.90994,,
454,0.18086,0.91794,,
455,0.19829,0.90442,,
456,0.2226,0.88675,,
457,0.20076,0.90408,,
458,0.17485,0.90711,,
459,0.20191,0.90445,,
460,0.21079,0.89374,,
461,0.21395,0.9018,,
462,0.19893,0.90564,,
463,0.20385,0.90842,,
464,0.20118,0.90683,,
465,0.22038,0.89478,,
466,0.18792,0.91262,,
467,0.2031,0.89102,,
468,0.19442,0.90885,,
469,0.2184,0.89291,,
470,0.19491,0.90362,,
471,0.17595,0.91577,,
472,0.20215,0.90501,,
473,0.20804,0.89441,,
474,0.2071,0.89875,,
475,0.20462,0.91072,,
476,0.19734,0.90682,,
477,0.20683,0.89944,,
478,0.22298,0.89844,,
479,0.19649,0.90577,,
480,0.19667,0.91124,,
481,0.16385,0.91847,,
482,0.19997,0.91477,,
483,0.18451,0.91259,,
484,0.21895,0.90863,,
485,0.22007,0.89116,,
486,0.18486,0.91049,,
487,0.19435,0.9095,,
488,0.20274,0.89988,,
489,0.20951,0.89748,,
490,0.20886,0.89418,,
491,0.22819,0.89092,,
492,0.20005,0.90453,,
493,0.22722,0.88816,,
494,0.2175,0.89231,,
495,0.18582,0.898,,
496,0.1873,0.92412,,
497,0.20418,0.90279,,
498,0.18316,0.91306,,
499,0.20304,0.89701,,
500,0.19698,0.91444,,
501,0.20372,0.89835,0.22208,0.67439
502,0.18668,0.91184,,
503,0.19086,0.90437,,
504,0.20532,0.89255,,
505,0.21957,0.89449,,
506,0.21518,0.89732,,
507,0.18503,0.91871,,
508,0.17775,0.92032,,
509,0.18953,0.91082,,
510,0.18789,0.90388,,
511,0.1958,0.90864,,
512,0.19197,0.91115,,
513,0.16659,0.92825,,
514,0.18439,0.90768,,
515,0.18362,0.91127,,
516,0.24985,0.8862,,
517,0.14573,0.94419,,
518,0.18196,0.9139,,
519,0.20705,0.90759,,
520,0.1889,0.90889,,
521,0.21086,0.89628,,
522,0.18334,0.90689,,
523,0.17145,0.92657,,
524,0.19209,0.90734,,
525,0.18155,0.91564,,
526,0.22149,0.8883,,
527,0.18236,0.90949,,
528,0.21902,0.88187,,
529,0.15512,0.9347,,
530,0.17685,0.92632,,
531,0.18822,0.91421,,
532,0.18842,0.90994,,
533,0.18991,0.9116,,
534,0.21239,0.89194,,
535,0.19183,0.91587,,
536,0.20886,0.90053,,
537,0.19567,0.92,,
538,0.18717,0.91392,,
539,0.17128,0.91429,,
540,0.17416,0.92226,,
541,0.18388,0.91822,,
542,0.21418,0.89,,
543,0.20578,0.90301,,
544,0.19608,0.90311,,
545,0.20596,0.89977,,
546,0.1948,0.90722,,
547,0.19441,0.91166,,
548,0.17821,0.90358,,
549,0.20873,0.89155,,
550,0.17284,0.91623,,
551,0.17797,0.91221,,
552,0.18778,0.91467,,
553,0.16507,0.91937,,
554,0.18901,0.90631,,
555,0.2,0.90975,,
556,0.17999,0.911,,
557,0.1622,0.92507,,
558,0.18757,0.9118,,
559,0.18996,0.90863,,
560,0.17872,0.90453,,
561,0.19696,0.91282,,
562,0.18052,0.91207,,
563,0.17549,0.91901,,
564,0.19023,0.91887,,
565,0.17925,0.91621,,
566,0.19782,0.91079,,
567,0.21214,0.8979,,
568,0.18281,0.90887,,
569,0.1979,0.90681,,
570,0.19658,0.91151,,
571,0.18956,0.90005,,
572,0.17173,0.91975,,
573,0.19827,0.89847,,
574,0.21003,0.89308,,
575,0.17647,0.92009,,
576,0.20814,0.90021,,
577,0.20811,0.89454,,
578,0.20932,0.9009,,
579,0.18839,0.90585,,
580,0.1871,0.91692,,
581,0.18492,0.91307,,
582,0.1592,0.91577,,
583,0.20113,0.90752,,
584,0.21897,0.88537,,
585,0.18634,0.91648,,
586,0.19914,0.9009,,
587,0.17737,0.91259,,
588,0.23283,0.88057,,
589,0.17236,0.92073,,
590,0.20383,0.9006,,
591,0.19111,0.90836,,
592,0.18632,0.90277,,
593,0.21307,0.89572,,
594,0.17737,0.91125,,
595,0.20176,0.90427,,
596,0.19687,0.90818,,
597,0.17709,0.91567,,
598,0.18204,0.91145,,
599,0.20585,0.89613,,
600,0.1738,0.91286,,
601,0.19618,0.89762,0.17283,0.68647
602,0.18874,0.90876,,
603,0.1849,0.90214,,
604,0.17905,0.91794,,
605,0.19597,0.90349,,
606,0.1723,0.92134,,
607,0.1903,0.89812,,
608,0.17179,0.92639,,
609,0.18433,0.91622,,
610,0.20761,0.90142,,
611,0.18714,0.9173,,
612,0.1608,0.9283,,
613,0.2107,0.89612,,
614,0.16985,0.92057,,
615,0.16281,0.9201,,
616,0.19456,0.90965,,
617,0.19578,0.9119,,
618,0.1646,0.93136,,
619,0.17345,0.91899,,
620,0.20455,0.90969,,
621,0.17766,0.91525,,
622,0.17162,0.92344,,
623,0.15584,0.93449,,
624,0.19094,0.90094,,
625,0.16935,0.91731,,
626,0.17792,0.91036,,
627,0.1607,0.92759,,
628,0.18499,0.91991,,
629,0.17475,0.91664,,
630,0.1812,0.92011,,
631,0.15566,0.93254,,
632,0.20986,0.90191,,
633,0.19928,0.90771,,
634,0.16635,0.9196,,
635,0.20628,0.90456,,
636,0.17379,0.91769,,
637,0.16019,0.92496,,
638,0.17067,0.91103,,
639,0.19228,0.91195,,
640,0.19807,0.91111,,
641,0.18643,0.90903,,
642,0.17915,0.91874,,
643,0.13895,0.9385,,
644,0.14743,0.92724,,
645,0.16786,0.9162,,
646,0.14683,0.93819,,
647,0.14111,0.93679,,
648,0.1748,0.91194,,
649,0.18883,0.90668,,
650,0.1797,0.91924,,
651,0.19067,0.92185,,
652,0.17101,0.92483,,
653,0.23328,0.88428,,
654,0.18293,0.90519,,
655,0.16908,0.92784,,
656,0.20982,0.88898,,
657,0.1866,0.91633,,
658,0.17092,0.92663,,
659,0.19614,0.89539,,
660,0.17911,0.917,,
661,0.17909,0.92532,,
662,0.21144,0.89998,,
663,0.16343,0.92617,,
664,0.18089,0.91115,,
665,0.1803,0.91403,,
666,0.15599,0.92647,,
667,0.20501,0.90239,,
668,0.18416,0.91849,,
669,0.17227,0.91198,,
670,0.15668,0.93044,,
671,0.16797,0.91939,,
672,0.15102,0.92969,,
673,0.14295,0.93099,,
674,0.16854,0.92271,,
675,0.17826,0.91053,,
676,0.17008,0.91519,,
677,0.19423,0.9041,,
678,0.19136,0.91104,,
679,0.15065,0.92742,,
680,0.17725,0.91725,,
681,0.1624,0.92498,,
682,0.17549,0.91566,,
683,0.19721,0.90236,,
684,0.18371,0.91216,,
685,0.20391,0.89933,,
686,0.1862,0.90487,,
687,0.18204,0.91531,,
688,0.17565,0.92275,,
689,0.1973,0.90733,,
690,0.15267,0.93286,,
691,0.22902,0.89579,,
692,0.18791,0.90853,,
693,0.18438,0.90852,,
694,0.20566,0.90656,,
695,0.17026,0.91852,,
696,0.193,0.91422,,
697,0.20265,0.90119,,
698,0.18098,0.91412,,
699,0.18275,0.90974,,
700,0.14725,0.92706,,
701,0.2023,0.90319,0.1705,0.69647
702,0.13754,0.93847,,
703,0.17468,0.92409,,
704,0.2092,0.89088,,
705,0.17764,0.91004,,
706,0.18086,0.91169,,
707,0.19259,0.91553,,
708,0.17804,0.91718,,
709,0.1541,0.92893,,
710,0.19346,0.91207,,
711,0.18979,0.90127,,
712,0.18692,0.91162,,
713,0.17374,0.92459,,
714,0.18597,0.90451,,
715,0.17218,0.92761,,
716,0.18085,0.92036,,
717,0.15496,0.93399,,
718,0.18849,0.90904,,
719,0.16083,0.92419,,
720,0.19946,0.90975,,
721,0.16615,0.92344,,
722,0.19919,0.8954,,
723,0.18417,0.91447,,
724,0.19407,0.90307,,
725,0.18293,0.91273,,
726,0.17213,0.91957,,
727,0.18465,0.9215,,
728,0.16483,0.93718,,
729,0.16975,0.92005,,
730,0.16845,0.92368,,
731,0.20891,0.9033,,
732,0.20103,0.89601,,
733,0.17321,0.92533,,
734,0.19306,0.91384,,
735,0.1553,0.92871,,
736,0.17137,0.91799,,
737,0.15996,0.92789,,
738,0.1833,0.92038,,
739,0.20043,0.90209,,
740,0.1529,0.93053,,
741,0.16693,0.91724,,
742,0.14333,0.93036,,
743,0.1684,0.92553,,
744,0.15481,0.94149,,
745,0.13826,0.94512,,
746,0.18617,0.91572,,
747,0.1699,0.92251,,
748,0.19537,0.90747,,
749,0.18854,0.90629,,
750,0.14037,0.93846,,
751,0.18671,0.91147,,
752,0.17215,0.92649,,
753,0.18216,0.92075,,
754,0.1531,0.92818,,
755,0.15825,0.94212,,
756,0.16848,0.92436,,
757,0.16681,0.91885,,
758,0.18896,0.90721,,
759,0.17531,0.91855,,
760,0.15024,0.9462,,
761,0.15637,0.92843,,
762,0.15542,0.92908,,
763,0.15391,0.92167,,
764,0.21229,0.90583,,
765,0.18865,0.90775,,
766,0.20513,0.90256,,
767,0.14261,0.93864,,
768,0.18002,0.91953,,
769,0.16306,0.92969,,
770,0.17956,0.91569,,
771,0.17469,0.92278,,
772,0.18813,0.91802,,
773,0.19739,0.90828,,
774,0.16105,0.92802,,
775,0.15662,0.92954,,
776,0.17299,0.91911,,
777,0.18802,0.91489,,
778,0.18659,0.91012,,
779,0.18585,0.9149,,
780,0.17942,0.91282,,
781,0.18952,0.91868,,
782,0.15627,0.93259,,
